Label;Area_px
71_29;2128
71_29;2116
71_29;4304
71_29;4304
71_29;6360
71_29;2644
71_29;5272
71_29;3620
71_29;4060
71_29;7188
71_29;9500
71_29;3640
71_29;12472
71_29;27768
71_29;8492
71_29;9116
71_29;8172
71_29;6084
71_29;3016
71_29;2116
71_29;12064
71_29;46008
71_29;8444
71_29;3356
71_29;2644
71_29;1356
71_29;3856
71_29;4528
71_29;2404
71_29;2644
71_29;4060
71_29;3016
71_29;42264
71_29;5272
71_29;1328
71_29;2988
71_29;3412
71_29;14956
71_29;15836
71_29;12991
71_29;45633
71_29;1768
71_29;33340
71_29;12472
71_29;7804
71_29;4492
71_29;57232
71_29;38676
71_29;98969
71_29;34636
71_29;32692
71_29;26488
71_29;30648
71_29;23196
71_29;23236
71_29;23232
71_29;31420
71_29;10916
71_29;24328
71_29;6944
71_29;25860
71_29;35284
71_29;15388
71_29;46716
71_29;25984
71_29;9480
71_29;34636
71_29;11704
71_29;26584
71_29;37336
71_29;23780
71_29;18168
71_29;33964
71_29;6944
71_29;105466
71_29;46008
71_29;27740
71_29;33252
71_29;11704
71_29;11704
71_29;22712
71_29;52300
71_29;3016
71_29;31420
71_29;50664
71_29;29568
71_29;20612
71_29;108680
71_29;5020
71_29;30172
71_29;24848
71_29;6668
71_29;43728
71_29;6360
71_29;14080
71_29;29568
71_29;16724
71_29;14536
71_29;10212
71_29;20060
71_29;61571
71_29;28360
71_29;32688
71_29;63344
71_29;6019
71_29;8392
71_29;45992
71_29;45992
71_29;53900
71_29;106032
71_29;50068
71_29;13212
71_29;427619
71_29;5020
71_29;9852
71_29;4756
71_29;23232
71_29;5024
71_29;3412
71_29;3856
71_29;11704
71_29;7548
71_29;49772
71_29;22152
71_29;10212
71_29;39424
71_29;7548
71_29;13272
71_29;43012
71_29;94028
71_29;10944
71_29;4528
71_29;2472
71_29;10580
71_29;17156
71_29;14520
71_29;14956
71_29;9856
71_29;6336
71_29;96494
71_29;71624
71_29;19116
71_29;3620
71_29;3176
71_29;51546
71_29;33792
71_29;40792
