a_um,b_um,field,V_um3,R_um,D_um,Ss_um2,Sps_um2,sigma_
19.76,11.07,H1,10143.101964906591,13.42849661425477,26.85699322850954,2266.0247657521168,2389.608983062468,0.05453789348561333
13.64,9.68,H1,5353.695843687077,10.852297604272465,21.70459520854493,1479.9711652524252,1509.2910474858106,0.01981111721753348
11.07,6.92,H1,2220.487941715687,8.093193733737099,16.186387467474198,823.094571105871,853.1052256410597,0.03646076111869845
12.45,6.92,H1,2497.296736617913,8.416415744352047,16.832831488704095,890.1521071937628,939.9698477143928,0.0559654244685015
13.25,7.31,H1,2965.7821124713155,8.912855742806222,17.825711485612445,998.2598837185488,1055.4897943249962,0.05732967090019092
12.85,7.51,H1,3035.7891956123017,8.982440185362488,17.964880370724977,1013.9079580711256,1061.72892479407,0.047164997909593165
17.98,9.09,H1,6223.089731043586,11.410530021263776,22.821060042527552,1636.1439090331605,1757.9075924713386,0.07442113298586994
12.25,7.71,H1,3050.2360817011977,8.996666357948458,17.993332715896916,1017.1221073480223,1053.1767086589907,0.035447662626245435
13.24,5.53,H1,1696.0039407058305,7.397973123969441,14.795946247938883,687.7575434320418,769.3015520275693,0.11856505155669739
10.47,5.53,H1,1341.1753216910913,6.841200436515855,13.68240087303171,588.1315717044548,626.7165562276001,0.06560604187821917
15.63,9.13,H1,5457.442170039838,10.921949840674552,21.843899681349104,1499.029637468865,1569.8622538069696,0.047252312140876995
14.25,9.68,H1,5593.120657810912,11.011720839980297,22.023441679960595,1523.7729159017395,1561.8947273817225,0.025018039815613458
13.24,8.7,H1,4197.735785147732,10.007113605128964,20.01422721025793,1258.425541305814,1295.3613956741306,0.029350846081834803
12.45,6.92,H1,2497.296736617913,8.416415744352047,16.832831488704095,890.1521071937628,939.9698477143928,0.0559654244685015
16.42,10.08,H1,6988.481604104444,11.860365485771275,23.72073097154255,1767.6896076655726,1837.0167081125164,0.039219046232046306
10.87,4.94,H1,1111.1483641733787,6.42531584189249,12.85063168378498,518.7986356696067,569.6084929359275,0.09793753061964239
14.62,8.7,H1,4635.264137376121,10.343367591427763,20.686735182855525,1344.4163411201794,1403.8004050974762,0.04417088825907722
27.48,21.94,H1,55408.77952441724,23.64993718753198,47.29987437506396,7028.6164929387005,7089.745386147388,0.00869714449068315
16.94,9.27,H2,6097.63583302377,11.333332353133324,22.666664706266648,1614.0802130464185,1709.0485366538924,0.058837425079532046
9.27,5.65,H2,1239.5533947449615,6.663855071350905,13.32771014270181,558.034372659463,580.5441303470848,0.04033758275560251
17.74,7.87,H2,4602.477663817958,10.318922722465526,20.637845444931052,1338.069230947281,1476.7669663134623,0.10365512647502606
8.47,4.03,H2,576.2117524286728,5.162156508520399,10.324313017040797,334.86688255825214,364.1548287410729,0.08746145918961079
22.83,8.88,H2,7540.852609943952,12.164958013967457,24.329916027934914,1859.6494787616427,2114.970229948014,0.13729509464137934
13.71,6.65,H2,2539.623602935289,8.463699752153573,16.927399504307147,900.1820754413287,975.0968240609951,0.08322177330951441
14.11,7.46,H2,3289.22269391534,9.225747330657123,18.451494661314246,1069.5792685494205,1139.541379797496,0.0654108707089649
16.74,10.28,H2,7410.206187055316,12.094295095435626,24.188590190871253,1838.107833961795,1910.098270471673,0.03916551313244354
14.92,7.87,H2,3870.8549461197267,9.740309628712895,19.48061925742579,1192.2172170099363,1270.741763439953,0.06586429495369561
10.69,5.24,H2,1229.5010061590185,6.645792231356032,13.291584462712065,555.0132911278869,599.9387728892596,0.08094487551834306
12.51,9.27,H2,4503.035671258994,10.244063439999437,20.488126879998873,1318.7254347751011,1338.818107396099,0.015236433673871286
13.12,4.64,H2,1183.2006660197542,6.561300555149063,13.122601110298126,540.9906112704541,629.7971261854582,0.16415537176597605
11.29,5.24,H2,1298.5094817151842,6.767872555057774,13.535745110115547,575.5912827043915,629.159630604966,0.09306664209521354
14.53,6.45,H2,2532.0580195069133,8.455286889065073,16.910573778130146,898.393414461738,991.3810220378983,0.10350432903815632
8.93,4.23,H2,669.2999659991364,5.426386595100295,10.85277319020059,370.0252207998639,402.7556650145702,0.08845463058965164
8.48,3.63,H2,468.0558866273343,4.816553265503568,9.633106531007137,291.52956117785146,324.2919894337746,0.11238115312750718
11.74,5.44,H2,1455.3066223832636,7.029999575078534,14.059999150157068,621.0412704187136,679.0709015929802,0.09343925104227346
9.27,5.04,H2,986.3462921749115,6.175141812977908,12.350283625955816,479.1855743791837,507.96111550305204,0.060050933630773295
11.7,7.46,H2,2727.4206604400765,8.667380026751248,17.334760053502496,944.0294478915494,975.7069668936158,0.03355564709640868
14.94,7.86,H2,3866.1998430341823,9.73640348615121,19.47280697230242,1191.2611823862956,1270.333686804092,0.06637713507914444
11.29,5.65,H2,1509.6610384757944,7.1164534437546125,14.232906887509225,636.4101376089252,685.122529820284,0.07654245168748797
10.28,5.04,H2,1093.8122851734724,6.391724721241155,12.78344944248231,513.388326098503,554.9231676341534,0.0809033618884456
14.93,9.28,H2,5385.727421852113,10.873897962400891,21.747795924801782,1485.868482619909,1541.3157725940098,0.03731641839278743
11.7,8.47,H2,3515.938676669952,9.43302301695209,18.86604603390418,1118.1798253915388,1137.8984457871618,0.01763456999299584
12.7,7.06,H2,2651.5616698313947,8.586266705530102,17.172533411060204,926.4428048072231,978.2666145336384,0.0559384880075775
20.4,10.21,H2,8907.79596573017,12.859592810728335,25.71918562145667,2078.089741293835,2237.1106068763197,0.07652261710482122
13.01,6.4,H2,2232.1627367125384,8.10735297359797,16.21470594719594,825.9771385241379,892.2034661169471,0.08017937120044616
15.6,6.8,H2,3021.558681481434,8.968382885902832,17.936765771805664,1010.7369589107113,1119.80843750666,0.10791282304893346
